ID,SMILES,Standard Relation,IC50,pIC50,bioactivity
CHEMBL1460167,C=CCOc1ccccc1C(=O)/C=C1/C(=O)Nc2ccccc21,,49710,,inactive
CHEMBL1460491,N#Cc1sc2nc(-c3ccccc3)cc(-c3ccco3)c2c1N,'=',7298,5.14,active
CHEMBL1462078,Nc1c(C(=O)c2cccs2)sc2nsc(SCCN3CCCCC3)c12,'=',9894,5,active
CHEMBL1462613,COc1ccc(C(=O)c2sc3nc(-c4ccc(OC)cc4)ccc3c2N)cc1,'=',4440,5.35,active
CHEMBL1463059,Cc1cccc(-n2c(C)nnc2S)c1C,'=',8269,5.08,active
CHEMBL1463795,CN1CCN(C2=CC3=CC(=C(C#N)C#N)CCC3CC2)CC1,'=',2998,5.52,active
CHEMBL1464372,COc1ccc(-c2nnc(S)n2-c2ccc3c(c2)OCCO3)cc1OC,'=',2617,5.58,active
CHEMBL1464798,Cc1cccc(CS(=O)(=O)c2ncc(Cl)c(C(=O)NCc3ccc4c(c3)OCO4)n2)c1,,21147,,inactive
CHEMBL1464897,CCCn1c(S)nnc1C(C)C,'=',3476,5.46,active
CHEMBL1465409,CCC(=O)Nc1ccc(C(=O)Cn2ncc(Cl)c(Cl)c2=O)cc1,,49742,,inactive
CHEMBL1465592,CC(C)(C)C(=O)/C(=C\c1cccc([N+](=O)[O-])c1)n1cncn1,,49750,,inactive
CHEMBL1468847,O=C(Cn1ncc(Cl)c(Cl)c1=O)c1ccc(Cl)cc1,,49756,,inactive
CHEMBL1469035,Cc1ccccc1NC(=O)/C=C/c1ccc([N+](=O)[O-])s1,'=',13698,4.86,inactive
CHEMBL1469441,O=C(O)c1[nH]c2ccc(Br)cc2c1CCN1C(=O)c2cccc([N+](=O)[O-])c2C1=O,'=',716,6.14,active
CHEMBL1470904,CC(C)OC(=O)c1sc2nc(-c3ccccc3)ccc2c1N,'=',3698,5.43,active
CHEMBL1471341,CCS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccc(C)cc2)n1,'=',7648,5.12,active
CHEMBL1472131,CCCCNc1ccc2c3c(cccc13)C(=O)N(CCCC)C2=O,'=',3071,5.51,active
CHEMBL1473205,CC1=NCCc2c1[nH]c1cc(O)ccc21.Cl.O,'=',7958,5.1,active
CHEMBL1474143,Oc1ccc2nnc3c(Br)cnn3c2c1,'=',6628,5.18,active
CHEMBL1474947,O=C(Cn1ncc(Cl)c(Cl)c1=O)Nc1ccc2c(c1)OCO2,,49741,,inactive
CHEMBL1476225,Fc1ccc(-[n+]2nc(Nc3ccccc3)sc2-c2c3ccccc3cc3ccccc23)cc1.[Cl-],'=',5696,5.24,active
CHEMBL1477197,COCCN(CC(=O)NC1CCCCC1)C(=O)/C=C/C(=O)c1ccc(OC)cc1O,,17821,,inactive
CHEMBL1477528,Cc1ccccc1CS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccc(F)cc2)n1,'=',6246,5.2,active
CHEMBL1479144,N#Cc1sc2nc(-c3cccs3)cc(-c3ccc(Cl)cc3)c2c1N,'=',4736,5.33,active
CHEMBL1480031,CS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccc3ccccc3c2)n1,'=',7128,5.15,active
CHEMBL1481755,COCC(=O)Nc1nnc(SCC(=O)NCc2cccs2)s1,'=',3623,5.44,active
CHEMBL1483727,CSc1nc(SCC(=O)O)c2c3c(sc2n1)COC(C)(C)C3,'=',29719,4.53,inactive
CHEMBL1484327,COc1ccc(-c2cc3ccc(O)cc3oc2=O)cc1OC,'=',5229,5.28,active
CHEMBL1485865,COC(=O)c1ccc2c(c1)C(C)(C)C(/C=C/c1ccc(OC)c(OC)c1OC)=[N+]2C.[I-],,39105,,inactive
CHEMBL1487183,CCCCC(CC)CN=C(N)N=C(N)NCCCCCCNC(N)=NC(N)=NCC(CC)CCCC.Cl,'=',5211,5.28,active
CHEMBL1487952,CCOC(=O)c1ccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)cc1,'=',8402,5.08,active
CHEMBL1490225,O=[N+]([O-])c1cc(S(=O)(=O)N2CCCCCC2)ccc1F,,49750,,inactive
CHEMBL1490312,CN1C(=O)/C(=C\c2ccc(N(C)C)cc2)OC1=S,'>',59640,,inactive
CHEMBL1491016,COc1cc(/C=C2/SC(=S)N(Cc3ccccc3)C2=O)cc(OC)c1O,'>',59640,,inactive
CHEMBL1491686,CCCCNC(=O)COC(=O)c1c2c(nc3ccccc13)/C(=C/c1cccs1)CC2,'=',3320,5.48,active
CHEMBL1492044,CC(=O)Oc1ccc2c(c1)Oc1cc(OC(C)=O)ccc1C21OC(=O)c2ccccc21,'=',39757,4.4,inactive
CHEMBL1492629,Cc1ccc(S(=O)(=O)n2[nH]c(=O)cc2NC(=O)c2cccs2)cc1,'=',120.18,6.92,active
CHEMBL1492648,CS(=O)(=O)c1nc(-c2ccccc2)cc(C(F)(F)F)n1,'=',29065,4.54,inactive
CHEMBL1492819,CCn1nc(-c2ccccc2)c2nc3ccccc3nc21,'=',5357,5.27,active
CHEMBL1493353,CC(C)(C)c1ccc(COc2ccsc2C(=O)O)cc1,'=',5711,5.24,active
CHEMBL1494120,COc1ccc(NC(=O)/C(Cl)=C(/Cl)[S+]([O-])Cc2ccc(Cl)cc2)cn1,'=',7828,5.11,active
CHEMBL1495079,Cn1cc(/C=C(\C(=O)O)C(C(=O)O)=C2CCCCC2)c2ccccc21,'=',54075,4.27,inactive
CHEMBL1497139,N#CC(C#N)=C1C=CC=CN1/C(=C\c1ccco1)C(=O)c1ccc(Br)cc1,'=',13247,4.88,inactive
CHEMBL1498006,CC(C)(C)C(=O)Nc1nnc(CSCc2ccccc2F)s1,'=',1964,5.71,active
CHEMBL1498210,CCN1CCN(C2=CC3=CC(=C(C#N)C#N)CCC3CC2)CC1,'=',3699,5.43,active
CHEMBL1498308,CCN(CC)c1ccc(-c2nc3cnccn3c2NC2CCCC2)cc1,'=',5289,5.28,active
